id;perfect_tonics_id
1;2.0
6;7.0
10;13.0
10;11.0
10;12.0
16;17.0
16;13.0
22;23.0
22;24.0
22;11.0
27;11.0
28;11.0
29;23.0
29;30.0
29;31.0
37;
38;
39;
40;17.0
41;43.0
41;42.0
45;13.0
46;7.0
47;13.0
47;31.0
47;42.0
49;13.0
49;31.0
49;42.0
50;
51;
52;13.0
53;54.0
56;13.0
58;17.0
58;7.0
58;43.0
62;63.0
62;43.0
65;43.0
65;42.0
67;43.0
67;42.0
68;11.0
69;11.0
70;11.0
71;13.0
71;11.0
71;72.0
73;23.0
74;13.0
79;
80;
81;
82;83.0
84;83.0
85;7.0
86;13.0
87;7.0
87;63.0
87;31.0
88;89.0
90;91.0
92;93.0
92;89.0
94;
95;97.0
95;96.0
95;12.0
99;13.0
99;102.0
99;101.0
99;100.0
